image_id,fold
1d93f2db56a439730528e78b5a8c6c65,0
35332e0dbeaa5fcba199e892954528a7,0
8a3232e8b3b2512f2f6cba0a265d175e,1
9d4c88beba0b2d533f205f1b615e6c7e,4
237d42417a3621368cfb0a3280d3f252,2
5ecebd2186ad8871c59a607bbd6d3a6d,4
7ea5dd01892d17a7c49acba9f627b271,0
12cef0383505d96338a2ccd5491f972f,0
738aeefd8bc05ac71e2ea552828e97da,1
7e81ad62302e6eabe1230d2d9d604881,4
33ec4577b716c843eb1224b41204aab2,3
709bc21ccabfc241df80244c45f930a8,2
59fce17965127867763cdd31e2b88ae2,2
fe2e96fbf3e76e9983d1cc4d90ef957b,3
701a0c1cbb556697609f4f45a8c0a7c7,0
3153fb3c7de0d4451a51d7899b9107dc,1
1ce690a5968d81df0b732a157625c112,3
30e85f5810d4b790b17fa0c3b9ac0437,0
517b74706538c339b98d3d94e15b6499,1
bde1eb4986f82c9cd031689fa8f5084e,1
49ad3b1fca450036f56b4844f178b837,2
39801edf3f3661fdba0ac0f10450efcc,0
ac32ff7089312633858bcd96747b4046,4
f88c1d0470a3d754ee8bfd47f5fa1ab5,1
030ca0cb6956ae6ec93a6fc83453d09b,1
d85e14b5f57f220ccd80ca6f02f6b56b,4
b6dbb1d1ef20d9d91326e8d9c9493c31,3
de9c84e2aa6dbde04560906d37eab791,0
c5b7afdd9e4cd1b13dd545fe28735620,3
962731dd6f931030e2e763c9fab4fb7f,4
f1fa1fcc9c86af57af89f7c5784e8a4c,1
900ca15382fabf04c7b62af369e0b551,0
1e751c3e6fd07ca73ff1eb2814c5335d,3
6f2492a62387357de046f11af3a8524d,1
ba0476c61b241addd5a5b83fc6dd0aa4,3
704a213fd13aa5e59c4fcf5c84723e57,4
fc0109ca8340e1cea99e1a26e40aebd4,3
934c0766674a11be1e32de11110ebb0e,1
02a2dcd6ad8bc1d9ad7fdc04ffb6dff3,0
517132eda4a696009a058752af6e0c5b,0
7c76b2d2d594d18430096364ab23f9a9,4
36531354b9f3353938e4227f7d8a3ece,0
b1b0e643bd13df0d2bfc1b051e2bd0fd,3
9336705a0567f81bfbf9dcabfc4acf49,2
d50f85e2414dd545345934cdef5c8dce,3
ebbe9b2029fd5389f5bb93d6b2b822ab,1
c982dc4f74dcfac91002598931c0b726,3
2a5ac092c2766b2750c68c227d5357c8,0
9b7a3bed1f74654040a37290572015c5,3
06fe0864a99a2e0cd32cb141b7808912,4
c1e4a4cd769d4d64a1ea7905b8c30ff9,2
97b7f54f14c7755f68592de20ea662b1,1
8900095e28a92eebb25f469b67d29b84,2
9c2b708c21a6f7f2c4bebce9d6c74436,1
ff80dfefc41b8863b476c5840f88fec0,2
f699fbdf8bec0b3e390edefe41976d15,3
c00da4f9d10e27d80164b132d0959666,2
00e6511435645e50673991768a713c66,0
e3306507fac36d68ea6c6e20bda23200,0
4c7bdcaec94446929471c97fa0c8088b,0
fbf1493e0d0f80318eb52c41d91f2180,4
a5f8aa93183d002e62df16a0891ace20,0
5f95d17c869a6b92214c6b0c2aebfccb,3
072c26f55ed2317ff8d27d8500483121,3
be02458edbd06696094ebb229a9d0d37,2
9591a44ee456707bdc1def93f0007c35,2
5f488a50b6910c735e114c7482c393bc,3
b6d811787ee589d5c13dfd8f3aa893f4,4
813a9dcf1078efd7086f5fdc2a0a313d,4
29d70921c5346342007bb79603c58303,4
678cd7da1af4a3ce24689c389fb82fd5,3
332db6f0f6f290e521b714b4d209ff25,0
98c76020fd2e71039c259365994f76d6,4
5ae2d48a5907763cfad33ce3a1d911f4,1
df29712be2badfd7ae0ef37d30759042,4
df3d9c53189dd95a5888480835d341a9,4
89ce8e0a494db9c7ddc68dbf58729c68,0
fae4428cb40950b27cf533531356ffab,1
4b4d285f54bf258327be795dba6ad9e7,4
5b0c8d324c53998d7353ad17e591fd46,4
cab0adfc6e551c4cca471512b2e200fd,1
e8baa3bb9dcfb9cef5ca599d62bb8046,0
6f56c1a8d9755e36fc3329797d59874a,2
db50ae671fd181d31c89728e6a71e582,3
1cb4a7d3594586b84849e63b828de968,4
e378d4208a7887e81d8b4b92cb81ec3e,2
8ed35a4d31711b9670bc5125f79fbdd7,4
ec98a1abb0df9d1de21534c1e40698ab,2
76c4369a05d0822a0f8280b70f7a179d,0
742e58363ad59930dd29cd4d23e3e2e0,0
dd025ef522443f0f1e0f2282d7145dde,3
c799800d4410e6c81dc1949dedd2d471,2
16c54daa33d67cc8de9b995611fca90e,1
d4dcb1cd15053d17de19d2d63ddcb173,1
e65d809914de1f87fd337a75ac08454f,2
0f79d6c2d500c1538179ab617b99c21c,0
e5fc40d67ca490bb598688f92a2eff6b,1
c3206e3a627cf34dfb2b013847b924c2,2
bd95e87048a1d5303af08d98343498aa,1
751b5369155b1086d5a5f3feeb21bdc5,2
50467a6acf3c242827713dc6dd1b5836,4
0859f6978ecda3a70941d601287ef6de,0
ab119bc53387c66615f88239738df2e2,0
ea2dae3e447871d311e907278a85cabf,2
f59aa908b06ae529d212effa3888e2ea,2
be636d17226e4adfd7ee577877591cac,4
6da58949332bdb1e6d73aa850280188a,1
d15706b4cad3b7f87dd260aab604b25e,4
6b9ff194b8290ba500f3f8bbdeda253c,4
e46cd9a60e519442571060be59a55149,0
5a258172c6d220c464e500a1fb880b20,3
a51ad75de73b4fae8900363d758bea87,4
e173f2b10faccbb5c9f5a0c38a2a1fd0,4
7c3ee27216049d5308310f02fba18dbb,1
85b7b5e97f0556d09761a365234f1ac5,2
4dc731d30fb8010b313c357fa56459e3,1
eea5a7ea388de38cafb29752b812c9ff,3
